country,year,maternal_education_standardized,u5mr_standardized,prop_urban_standardized,vitA_standardized,incidence_standardized,mcv1_standardized
ZWE,1981,-0.494233012,0.452132844,-1.074676759,1.499417274,0.091477536,-2.358068791
AFG,1982,-1.7140036,2.349601469,-1.332240951,0.3558031,1.323437235,-2.358068791
AGO,1982,-1.545601942,2.370802235,-0.908120374,1.424511267,0.535422788,-2.358068791
ALB,1982,0.171189307,-0.091515389,-0.564208549,0.929270376,0.328569188,-2.358068791
ARE,1982,-0.714841889,-0.703308944,1.505042807,-0.285987605,0.840422046,-2.358068791
ATG,1982,0.280729385,-0.919859633,-0.542162345,-0.822872122,0.354425877,-2.358068791
BDI,1982,-1.551403628,1.939215198,-1.891148076,0.656190726,1.220305641,-2.358068791
BEN,1982,-1.567319276,1.952844262,-0.814916909,2.523219515,0.732715344,-2.358068791
BFA,1982,-1.707952018,2.325372021,-1.648415783,2.253625135,0.852417303,-2.358068791
BGD,1982,-1.308257868,1.813524938,-1.374137701,0.310236323,0.814759677,-2.358068791
BGR,1982,1.078957071,-0.807798438,0.727062728,0.790560379,0.287593476,-2.358068791
BHR,1982,-0.909436278,-0.709366306,1.776811565,-0.768058128,0.05498258,-2.358068791
BHS,1982,0.689133914,-0.709366306,1.24089164,-0.91768982,0.441172877,-2.358068791
BLZ,1982,-0.277705472,-0.242949438,0.094713064,-0.59617453,0.673690494,-2.358068791
BOL,1982,-0.333074229,1.277448407,0.02660284,-0.463062582,0.448361942,-2.358068791
BRA,1982,-0.510065544,0.184094579,0.91338004,0.487648172,0.265315329,-2.358068791
BRB,1982,0.708864193,-0.774482947,-0.328197659,-0.911107242,0.35775442,-2.358068791
BTN,1982,-1.591102298,1.580316503,-1.599439154,0.765580384,0.693550926,-2.358068791
BWA,1982,-0.635061903,-0.168746754,-1.227297433,1.46624342,0.566082193,-2.358068791
CAF,1982,-1.657926454,1.607574632,-0.553230257,1.373602942,1.16855858,-2.358068791
CHN,1982,-0.56186778,-0.271721907,-1.16398181,-0.531430746,0.393518522,-2.358068791
CIV,1982,-1.467376151,1.303192195,-0.430990327,2.14051026,0.561684201,-2.358068791
CMR,1982,-1.077369257,1.395566965,-0.594410057,3.364163663,0.748413247,-2.358068791
COD,1982,-1.349091068,1.974045029,-0.864610487,0.967979484,1.173179167,-2.358068791
COG,1982,-1.174605587,0.400645268,0.126751755,3.15685125,0.731823517,-2.358068791
COK,1982,0.641178379,0.057288492,-0.421368264,-0.242695434,0.617683486,-2.358068791
COL,1982,-0.315071311,-0.364096676,0.815292355,-0.70061737,0.171586152,-2.358068791
COM,1982,-1.411184303,1.327421643,-1.020905529,1.877600113,0.586680779,-2.358068791
CPV,1982,-1.350193523,0.164408152,-0.911570695,-1.414889161,0.753001819,-2.358068791
CRI,1982,0.110126615,-0.797198054,-0.137802696,-0.752617063,0.309466443,-2.358068791
CUB,1982,0.282287192,-0.841113928,1.009809779,-1.137998549,-0.074034614,-2.358068791
DJI,1982,-1.507932564,1.073012442,1.212706553,0.057434193,0.585697592,-2.358068791
DMA,1982,0.941265471,-0.8138558,0.118551643,-0.797284556,0.453586713,-2.358068791
DOM,1982,-0.318593119,0.076576404,0.27654944,-0.092999222,0.359089521,-2.358068791
DZA,1982,-1.297592862,0.661111831,-0.070588659,-0.163127417,0.564437786,-2.358068791
ECU,1982,-0.031364105,0.103834533,0.086916236,0.081598912,0.305298981,-2.358068791
EGY,1982,-1.032560613,1.110870954,-0.133904282,-0.525357108,0.461861892,-2.358068791
ETH,1982,-1.65108693,2.407146407,-1.616063426,2.143810511,0.848326116,-2.358068791
FJI,1982,0.125583679,-0.53218847,-0.394694747,-0.199418215,0.541884762,-2.358068791
GAB,1982,-1.16865416,0.552079316,0.515024845,0.845925671,0.382681863,-2.358068791
GHA,1982,-0.825722708,1.339536367,-0.683983964,2.721174282,0.755193376,-2.358068791
GIN,1982,-1.599599444,2.95079464,-0.961801986,1.541415961,0.653469901,-2.358068791
GMB,1982,-1.533448485,2.142136823,-0.751242811,2.606786424,0.633030884,-2.358068791
GNB,1982,-1.637494255,2.837159827,-1.20381733,2.709553654,0.603646198,-2.358068791
GNQ,1982,-1.136841258,1.890756302,-0.843326042,2.158541075,0.701118082,-2.358068791
GRD,1982,-0.188969281,-0.62759192,-0.620623532,-0.392948466,0.58681358,-2.358068791
GTM,1982,-0.989698494,0.895834605,-0.336442581,0.00157153,0.652907202,-2.358068791
GUY,1982,0.254065915,-0.105144454,-0.742639414,-0.398864545,0.384809682,-2.358068791
HND,1982,-0.791642984,0.159865131,-0.487270881,-0.40478809,0.433446099,-2.358068791
HTI,1982,-1.168643439,1.593945568,-1.177738283,0.387459948,1.092561705,-2.358068791
HUN,1982,0.856388181,-0.809312778,0.791991489,0.359061372,-0.278601024,-2.358068791
IDN,1982,-0.570385087,0.574794423,-1.042817305,1.370578489,0.678340897,-2.358068791
IND,1982,-1.133233055,1.251704619,-1.040980122,1.167533007,0.990198158,-2.358068791
IRN,1982,-1.260162744,0.261325943,0.192531893,-1.060121681,0.551310634,-2.358068791
IRQ,1982,-1.25945786,-0.118773518,0.894425682,-0.038784503,0.464660547,-2.358068791
JAM,1982,0.401642299,-0.559446598,0.041882831,-0.88275806,0.297913707,-2.358068791
JOR,1982,-0.465529531,-0.382268762,0.717115051,0.361846668,0.391191422,-2.358068791
KEN,1982,-0.711652194,0.427903396,-1.393495343,2.166947301,0.517859495,-2.358068791
KHM,1982,-1.248390388,0.991238056,-1.516676269,0.284335352,0.709192477,-2.358068791
KIR,1982,-0.312739177,0.599023871,-0.631646634,1.061129928,0.710796358,-2.358068791
KNA,1982,0.437612445,-0.462528808,-0.504208819,-0.746786911,0.543966239,-2.358068791
KWT,1982,-0.446779651,-0.68967988,2.219662453,-0.557735105,0.222380907,-2.358068791
LAO,1982,-1.358004064,1.810496257,-1.521202014,1.175645646,0.568730367,-2.358068791
LBN,1982,-0.273549925,-0.435270679,1.308912246,-0.525481598,0.436145813,-2.358068791
LBR,1982,-1.429374761,2.472263048,-0.434888741,1.310991048,1.188687594,-2.358068791
LBY,1982,-1.32084309,-0.174804116,1.160324414,-0.72505132,0.459508633,-2.358068791
LCA,1982,-0.04319141,-0.698765923,-0.886835929,-0.650861159,0.533371605,-2.358068791
LKA,1982,-0.182456023,-0.538245832,-1.264444391,0.605869227,0.42520405,-2.358068791
LSO,1982,-0.499165602,0.552079316,-1.582142742,1.85547969,0.595867695,-2.358068791
MAR,1982,-1.444921125,0.688369959,-0.190184836,1.035603213,0.587142173,-2.358068791
MDG,1982,-1.072136193,1.530343268,-1.228552095,0.986558087,0.505477959,-2.358068791
MDV,1982,-1.275718289,0.883719881,-1.044251205,0.272659666,0.497200831,-2.358068791
MEX,1982,-0.378085533,-0.152089009,0.919384494,0.029305087,0.37861276,-2.358068791
MHL,1982,-0.226626439,-0.211148287,0.570678068,1.915117189,0.922357913,-2.358068791
MLI,1982,-1.674097983,3.171888351,-1.228328049,1.901138896,0.612836272,-2.358068791
MMR,1982,-1.056684725,0.90946367,-1.025476084,0.805027736,0.542947026,-2.358068791
MNG,1982,0.014605856,1.148729466,0.28631788,0.953168483,0.399291904,-2.358068791
MOZ,1982,-1.55520465,2.903850085,-1.426878315,2.101724078,0.661377359,-2.358068791
MRT,1982,-1.193337328,1.216874788,-0.743087508,1.64037244,0.474979857,-2.358068791
MUS,1982,-0.332231293,-0.632134942,-0.222313146,-0.738542868,0.128067272,-2.358068791
MWI,1982,-1.256291292,2.585838584,-1.675749491,1.965497998,0.585399272,-2.358068791
MYS,1982,-0.40643987,-0.744196137,-0.148064039,-1.065957774,0.515675611,-2.358068791
NER,1982,-1.718380751,3.747337734,-1.479036408,2.12243964,1.296949096,-2.358068791
NGA,1982,-1.183675051,2.005846179,-1.052540936,0.969056732,0.820296246,-2.358068791
NIC,1982,-0.719750639,0.311299179,0.177924043,-0.723861474,0.388636427,-2.358068791
NIU,1982,0.294044146,0.057288492,-0.421368264,-0.328710413,1.1810075,-2.358068791
NPL,1982,-1.582309449,1.805953235,-1.804128303,0.749199181,0.780784174,-2.358068791
NRU,1982,0.03342458,0.32802973,2.380348812,-0.076491864,0.652634458,-2.358068791
OMN,1982,-1.251421261,0.229524793,0.201941859,-0.093883318,0.48116031,-2.358068791
PAK,1982,-1.449263193,1.28804879,-0.818187992,0.249107148,0.882649783,-2.358068791
PAN,1982,0.299581835,-0.524616767,0.190336235,-0.881362759,0.271824102,-2.358068791
PER,1982,-0.033683246,0.665654852,0.83935498,0.151936975,0.682362045,-2.358068791
