country,year,maternal_education_standardized,mcv1_standardized,u5mr_standardized,prop_urban_standardized,vitA_standardized,incidence_standardized
SVN,2026,1.9902556914556,0.941243439453736,-1.10915219366964,0.35595162298939,-0.420514004999606,-1.94054370113906
SWZ,2026,0.687280506288087,0.455029005460934,-0.417098593102911,-1.02601379600418,-0.13798127286188,-2.61621429892614
SYC,2026,1.48720874396349,1.08016184916597,-0.927431335752771,0.45887871897941,-0.887436329497861,-9.26227244711157
SYR,2026,1.32298037091248,-0.100644633387984,-0.807798437624169,0.3559068136311,-0.824144029670404,-1.19954778929816
TCD,2026,-1.13614431803579,-0.93415509166136,0.57479442302664,-1.05746996552312,0.846183190583447,0.248134983343896
TGO,2026,-0.274976642259689,0.246651390892589,-0.136945603814412,-0.207481248137524,0.631319319077157,-1.59409643899342
THA,2026,1.14823866828285,0.975973041881793,-1.00769138133272,0.170888973255482,-0.780257005523732,-1.0939563067121
TJK,2026,1.1026973027778,0.941243439453736,-0.63970664405107,-0.876888251618117,-0.316930449066299,-2.18855666364803
TKM,2026,1.01229085854284,0.941243439453736,-0.501901660130781,0.231650463095477,-0.903377893952308,-9.26227244711157
TLS,2026,0.189848607440947,0.770167990456269,-0.482215233856454,-0.713871806162437,-0.411027405691037,-2.13176364908904
TON,2026,1.21841100196685,1.08016184916597,-0.966804188301425,-1.06517717514884,-0.466543872588214,0.97413091169602
TTO,2026,1.46038716444956,1.08016184916597,-0.883515461756196,0.282688322186741,-1.10572556623189,-9.26227244711157
TUN,2026,0.875127769580645,1.04543224673791,-0.888058483204117,1.00264028181742,-1.41164066015401,-0.48281358294344
TUR,2026,1.36174326264441,1.01070264430985,-0.991033636023674,1.2883447502686,-0.799658894018916,-1.69379334997259
TUV,2026,0.959839762943368,0.975973041881793,-0.800226735210966,0.732036567109653,-0.470684048308611,-0.376685805320738
TZA,2026,0.187300822456312,0.698136222457335,-0.379240081036897,-0.55466415616133,-0.100670783933975,-1.51507022937697
