country,year,maternal_education_standardized,mcv1_standardized,u5mr_standardized,prop_urban_standardized,vitA_standardized,incidence_standardized
CMR,2009,-0.0463798791762966,0.211921788464532,0.586909146887765,0.182629025127221,1.04400270320318,-0.315258181043553
CMR,2010,-0.00811039615174517,0.385569800604819,0.523306846616862,0.209738686892116,0.985297210730188,-1.01695799400725
CMR,2011,0.0309022739583367,0.281380993320647,0.458190205863319,0.23684834865701,0.941460151313606,-0.86859592156958
CMR,2012,0.070708532696836,0.489758607888991,0.390044884144495,0.263958010421905,0.899349784346113,-0.752169741484235
CMR,2013,0.11133811916889,0.524488210317048,0.32038522194303,0.29102286282851,0.859071089015495,-0.688183789368881
CMR,2014,0.152910996403432,0.350840198176762,0.255268581189487,0.318042905876827,0.820729044509572,-0.655158843042012
CMR,2015,0.195533139651231,0.211921788464532,0.188637599953304,0.345018139566854,0.784428630016131,-0.263975065335205
CMR,2016,0.239244405227066,0.10773298118036,0.131092661612963,0.371948563898592,0.750541825141282,-1.15712269748714
CMR,2017,0.284088886087982,-0.100644633387984,0.0765764042379039,0.398744560155463,0.716588937771088,-0.781341036963816
CMR,2018,0.330036842421506,-0.309022247956328,0.0266031683107663,0.425495747054045,0.67799990351541,-0.673421045430629
CMR,2019,0.377120046088407,-0.274292645528271,-0.0127696842378876,0.452112505877759,0.634962100708144,-0.0893656394385335
COD,1970,-1.40273035521191,-1.73293594750668,2.06641979842757,-0.887508069532629,1.09462785345242,1.88727570320084
COD,1971,-1.40273035521191,-1.73293594750668,2.06641979842757,-0.887508069532629,1.09462785345242,1.88727570320084
COD,1972,-1.40273035521191,-1.73293594750668,2.06641979842757,-0.887508069532629,1.09462785345242,1.88727570320084
COD,1973,-1.40273035521191,-1.73293594750668,2.06641979842757,-0.887508069532629,1.09462785345242,1.88727570320084
COD,1974,-1.40273035521191,-1.73293594750668,2.06641979842757,-0.887508069532629,1.09462785345242,1.88727570320084
COD,1975,-1.40273035521191,-1.73293594750668,2.06641979842757,-0.887508069532629,1.09462785345242,1.88727570320084
COD,1976,-1.40273035521191,-1.73293594750668,2.06641979842757,-0.887508069532629,1.09462785345242,1.88727570320084
COD,1977,-1.40273035521191,-1.73293594750668,2.06641979842757,-0.887508069532629,1.09462785345242,1.88727570320084
COD,1978,-1.40273035521191,-1.73293594750668,2.06641979842757,-0.887508069532629,1.09462785345242,1.88727570320084
COD,1979,-1.40273035521191,-1.73293594750668,2.06641979842757,-0.887508069532629,1.09462785345242,1.88727570320084
COD,1980,-1.40273035521191,-1.73293594750668,2.06641979842757,-0.887508069532629,1.09462785345242,1.88727570320084
COD,1981,-1.37667198854788,-1.55928793536639,2.01947524346571,-0.876081683168913,1.03051232776399,1.88727570320084
COD,1982,-1.34909106829948,-1.48982873051028,1.9740450289865,-0.864610487446908,0.967979484188884,0.975412739753249
COD,1983,-1.31998863148998,-1.31618071836999,1.93012915498992,-0.853094482366614,0.906118941553331,1.06413071495538
COD,1984,-1.28938934641251,-1.31618071836999,1.88621328099334,-0.841444049211453,0.831353141154476,0.964153710650672
COD,1985,-1.25674779538631,-0.968884694089417,1.84684042844469,-0.822937784238062,0.760809093805462,1.04354939099723
COD,1986,-1.22376582300996,-1.00361429651747,1.80898191637868,-0.804252281831515,0.696550190131039,0.912858976951061
COD,1987,-1.18958367779231,-0.93415509166136,1.77112340431266,-0.785432351350101,0.635199147429672,0.977032461525544
COD,1988,-1.15432667660211,-0.829966284377188,1.73629357321193,-0.766388374077241,0.574606793294965,0.917986614648261
COD,1989,-1.11812451649149,-0.93415509166136,1.7014637421112,-0.747254778087803,0.519617217123419,0.989857342080654
COD,1990,-1.08057141609113,-1.03834389894553,1.66814825149311,-0.727941944665209,0.481798032460368,0.846709789623569
COD,1991,-1.04314141591268,-1.76766554993474,1.63331842039237,-0.708494683167747,0.51834248235676,1.08868993311484
COD,1992,-1.00506710768617,-1.48982873051028,1.60151727025692,-0.68882337487884,0.554886932253152,1.05783685486631
COD,1993,-0.96637095160453,-1.21199191108582,1.57123046060411,-0.669107257231644,0.591431382149543,0.998269718474634
COD,1994,-0.927044693365496,-1.00361429651747,1.53942931046866,-0.649211902151292,0.627975832045935,1.0647904745457
COD,1995,-0.886528815456601,-1.42036952565416,1.50762816033321,-0.629137309637784,0.664520281942326,0.83587134504424
COD,1996,-0.845888726549949,-1.62874714022251,1.47279832923248,-0.608928289049408,0.729366383485293,1.13523780270631
COD,1997,-0.804405747688126,-1.66347674265056,1.43342547668382,-0.588629649744454,0.79421248502826,1.01668544053292
COD,1998,-0.762024086153681,-1.66347674265056,1.38345224075669,-0.568151773006343,0.859058586571237,1.15296207533926
COD,1999,-0.71868231490184,-1.83712475479085,1.32893598338163,-0.547539468193366,0.923904688114204,1.06872011062137
COD,2000,-0.67517341747111,-0.760507079521073,1.26836236407601,-0.526792735305521,0.988750789657171,0.944471085202951
COD,2001,-0.629266831599634,-1.1425327062297,1.20173138283982,-0.505956383701098,1.00844553302082,0.865980868997029
COD,2002,-0.582185046915842,-0.899425489233303,1.133586061121,-0.484985604021808,1.02814027638447,1.04314609629944
COD,2003,-0.533843998412638,-0.656318272236902,1.06241205843689,-0.46388039626765,1.04783501974812,0.885302014344108
COD,2004,-0.484162915330558,-0.378481452812443,0.989723715270147,-0.442640760438625,1.06752976311177,0.769555006934526
COD,2005,-0.433075756291672,-0.239563043100213,0.917035372103401,-0.421087459101577,1.08722450647542,0.948647555477597
COD,2006,-0.380561409320305,-0.170103838244099,0.845861369419296,-0.399130873539927,1.07480651142489,0.564926079429324
COD,2007,-0.326592504472068,-0.135374235816041,0.774687366735191,-0.376771003753675,1.06238851637437,0.573452991781678
COD,2008,-0.271141449266709,-0.135374235816041,0.708056385499007,-0.3540974684594,1.04997052132384,0.803636924972715
COD,2009,-0.214190604415973,-0.100644633387984,0.642939744745464,-0.331020648940523,1.03755252627332,0.475900234725319
COD,2010,-0.155736752097775,-0.0659150309599266,0.579337444474562,-0.307630163913622,1.02513453122279,0.328441761965089
