country,year,u5mr
GHA,2023,50.55
GIN,2023,106.76
GMB,2023,55.78
GNB,2023,86.72
GNQ,2023,88.46
GRD,2023,17.98
GTM,2023,26.69
GUY,2023,31.92
HND,2023,18.3
HTI,2023,67.76
IDN,2023,25.93
IND,2023,37.48
IRN,2023,14.6
IRQ,2023,28.43
JAM,2023,14.92
JOR,2023,16.89
KAZ,2023,11
KEN,2023,46.84
KGZ,2023,19.94
KHM,2023,28.98
KIR,2023,55.78
LAO,2023,49.79
LBN,2023,7.84
LBR,2023,87.59
LBY,2023,12.53
LCA,2023,26.15
LKA,2023,7.84
LSO,2023,99.03
MAR,2023,21.24
MDA,2023,16.12
MDG,2023,56.54
MDV,2023,7.63
MEX,2023,15.36
MHL,2023,34.43
MKD,2023,7.41
MLI,2023,102.62
MMR,2023,49.24
MNE,2023,2.83
MNG,2023,17.43
MOZ,2023,79.42
MRT,2023,79.53
MWI,2023,44.23
MYS,2023,9.37
NAM,2023,45.65
NER,2023,87.48
NGA,2023,127.35
NIC,2023,18.08
NPL,2023,31.92
PAK,2023,73.32
PER,2023,14.49
PHL,2023,29.52
PNG,2023,49.35
PRK,2023,18.85
PRY,2023,21.24
PSE,2023,18.52
RUS,2023,6.32
RWA,2023,45.65
SDN,2023,63.62
SEN,2023,43.25
SLB,2023,21.79
SLE,2023,121.9
SLV,2023,14.49
SOM,2023,128.88
SRB,2023,6.21
SSD,2023,106.65
STP,2023,18.52
SUR,2023,19.72
SWZ,2023,52.29
SYR,2023,24.18
TCD,2023,123.65
TGO,2023,72.45
THA,2023,9.8
TJK,2023,36.28
TKM,2023,46.19
TLS,2023,47.61
TON,2023,12.75
TUN,2023,18.41
TUR,2023,11
TUV,2023,24.73
TZA,2023,55.01
UGA,2023,49.35
UKR,2023,9.15
UZB,2023,16.12
VCT,2023,15.91
VEN,2023,26.36
VNM,2023,22.99
VUT,2023,27.89
WSM,2023,18.96
YEM,2023,67
ZAF,2023,35.95
ZMB,2023,69.83
ZWE,2023,59.05
AFG,2024,63.68
AGO,2024,78.62
ALB,2024,10.28
ARG,2024,9.64
ARM,2024,12.19
AZE,2024,21.62
BDI,2024,59.97
BEN,2024,93.67
BFA,2024,93.03
BGD,2024,32.53
BGR,2024,6.99
BIH,2024,6.25
BLR,2024,3.28
BLZ,2024,13.03
BOL,2024,27.87
BRA,2024,15.79
BTN,2024,30.3
BWA,2024,48.64
CAF,2024,112.95
CHN,2024,8.37
CIV,2024,85.09
CMR,2024,79.15
COD,2024,88.79
COG,2024,55.63
COL,2024,14.41
COM,2024,67.28
CPV,2024,15.79
CRI,2024,8.69
CUB,2024,5.51
DJI,2024,61.24
DMA,2024,37.09
