country,year,vitA
DOM,2023,0.06
DZA,2023,0.04
ECU,2023,0.08
EGY,2023,0.03
ERI,2023,0.18
ETH,2023,0.26
FJI,2023,0.08
FSM,2023,0.17
GAB,2023,0.11
GEO,2023,0.06
GHA,2023,0.21
GIN,2023,0.19
GMB,2023,0.21
GNB,2023,0.26
GNQ,2023,0.12
GRD,2023,0.05
GTM,2023,0.06
GUY,2023,0.06
HND,2023,0.05
HTI,2023,0.13
IDN,2023,0.15
IND,2023,0.19
IRN,2023,0.02
IRQ,2023,0.08
JAM,2023,0.03
JOR,2023,0.08
KAZ,2023,0.12
KEN,2023,0.23
KGZ,2023,0.07
KHM,2023,0.09
KIR,2023,0.19
LAO,2023,0.14
LBN,2023,0.04
LBR,2023,0.17
LBY,2023,0.04
LCA,2023,0.04
LKA,2023,0.09
LSO,2023,0.2
MAR,2023,0.11
MDA,2023,0.01
MDG,2023,0.18
MDV,2023,0.04
MEX,2023,0.12
MHL,2023,0.17
MKD,2023,0.12
MLI,2023,0.21
MMR,2023,0.09
MNE,2023,0.12
MNG,2023,0.11
MOZ,2023,0.2
MRT,2023,0.17
MWI,2023,0.19
MYS,2023,0.02
NAM,2023,0.07
NER,2023,0.22
NGA,2023,0.18
NIC,2023,0.03
NPL,2023,0.11
PAK,2023,0.13
PER,2023,0.07
PHL,2023,0.16
PNG,2023,0.06
PRK,2023,0.09
PRY,2023,0.14
PSE,2023,0.08
RUS,2023,0.01
RWA,2023,0.13
SDN,2023,0.09
SEN,2023,0.21
SLB,2023,0.11
SLE,2023,0.18
SLV,2023,0.09
SOM,2023,0.23
SRB,2023,0.14
SSD,2023,0.21
STP,2023,0.22
SUR,2023,0.05
SWZ,2023,0.13
SYR,2023,0.07
TCD,2023,0.23
TGO,2023,0.21
THA,2023,0.07
TJK,2023,0.12
TKM,2023,0.06
TLS,2023,0.11
TON,2023,0.1
TUN,2023,0.01
TUR,2023,0.07
TUV,2023,0.1
TZA,2023,0.14
UGA,2023,0.15
UKR,2023,0.01
UZB,2023,0.05
VCT,2023,0.05
VEN,2023,0.07
VNM,2023,0.07
