country,year,mcv1
AZE,2026,0.96
BDI,2026,0.95
BEN,2026,0.71
BFA,2026,0.92
BGD,2026,0.97
BGR,2026,0.94
BIH,2026,0.71
BLR,2026,0.98
BLZ,2026,0.83
BOL,2026,0.79
BRA,2026,0.77
BTN,2026,0.97
BWA,2026,0.97
CAF,2026,0.43
CHN,2026,0.99
CIV,2026,0.71
CMR,2026,0.65
COD,2026,0.58
COG,2026,0.71
COL,2026,0.9
COM,2026,0.86
CPV,2026,0.96
CRI,2026,0.94
CUB,2026,0.99
DJI,2026,0.53
DMA,2026,0.96
DOM,2026,0.92
DZA,2026,0.84
ECU,2026,0.68
EGY,2026,0.96
ERI,2026,0.96
ETH,2026,0.57
FJI,2026,0.96
FSM,2026,0.67
GAB,2026,0.67
GEO,2026,0.95
GHA,2026,0.96
GIN,2026,0.49
GMB,2026,0.83
GNB,2026,0.66
GNQ,2026,0.56
GRD,2026,0.87
GTM,2026,0.85
GUY,2026,0.96
HND,2026,0.85
HTI,2026,0.68
IDN,2026,0.76
IND,2026,0.94
IRN,2026,0.99
IRQ,2026,0.79
JAM,2026,0.92
JOR,2026,0.8
KAZ,2026,0.97
KEN,2026,0.94
KGZ,2026,0.96
KHM,2026,0.88
KIR,2026,0.84
LAO,2026,0.77
LBN,2026,0.7
LBR,2026,0.61
LBY,2026,0.77
LCA,2026,0.81
LKA,2026,0.97
LSO,2026,0.95
MAR,2026,0.99
MDA,2026,0.87
MDG,2026,0.41
MDV,2026,0.99
MEX,2026,0.99
MHL,2026,0.89
MKD,2026,0.74
MLI,2026,0.74
MMR,2026,0.46
MNE,2026,0.19
MNG,2026,0.96
MOZ,2026,0.88
MRT,2026,0.66
MWI,2026,0.95
MYS,2026,0.96
NAM,2026,0.95
NER,2026,0.84
NGA,2026,0.62
NIC,2026,0.87
NPL,2026,0.95
PAK,2026,0.85
PER,2026,0.82
PHL,2026,0.6
PNG,2026,0.4
PRK,2026,0.44
PRY,2026,0.71
PSE,2026,0.98
RUS,2026,0.97
RWA,2026,0.91
SDN,2026,0.85
SEN,2026,0.91
SLB,2026,0.7
SLE,2026,0.91
SLV,2026,0.9
SOM,2026,0.48
SRB,2026,0.82
SSD,2026,0.51
STP,2026,0.81
SUR,2026,0.61
SWZ,2026,0.84
SYR,2026,0.62
TCD,2026,0.58
TGO,2026,0.74
THA,2026,0.96
TJK,2026,0.97
TKM,2026,0.97
TLS,2026,0.83
TON,2026,0.99
TUN,2026,0.96
TUR,2026,0.96
TUV,2026,0.96
TZA,2026,0.8
UGA,2026,0.95
UKR,2026,0.92
UZB,2026,0.99
VCT,2026,0.99
VEN,2026,0.71
VNM,2026,0.94
VUT,2026,0.53
WSM,2026,0.65
YEM,2026,0.75
ZAF,2026,0.91
ZMB,2026,0.95
ZWE,2026,0.89
AFG,2027,0.67
AGO,2027,0.38
ALB,2027,0.92
ARG,2027,0.86
ARM,2027,0.96
AZE,2027,0.96
BDI,2027,0.96
BEN,2027,0.72
BFA,2027,0.93
BGD,2027,0.97
BGR,2027,0.94
BIH,2027,0.72
BLR,2027,0.98
BLZ,2027,0.84
BOL,2027,0.8
BRA,2027,0.77
BTN,2027,0.97
BWA,2027,0.97
CAF,2027,0.44
CHN,2027,0.99
CIV,2027,0.72
CMR,2027,0.66
COD,2027,0.58
COG,2027,0.72
COL,2027,0.91
COM,2027,0.87
CPV,2027,0.96
CRI,2027,0.94
CUB,2027,0.99
DJI,2027,0.53
DMA,2027,0.96
DOM,2027,0.93
DZA,2027,0.85
ECU,2027,0.69
EGY,2027,0.96
ERI,2027,0.96
ETH,2027,0.57
FJI,2027,0.96
FSM,2027,0.68
GAB,2027,0.68
GEO,2027,0.96
GHA,2027,0.96
GIN,2027,0.5
GMB,2027,0.84
GNB,2027,0.67
GNQ,2027,0.56
GRD,2027,0.88
GTM,2027,0.86
GUY,2027,0.96
HND,2027,0.86
HTI,2027,0.69
IDN,2027,0.76
IND,2027,0.94
IRN,2027,0.99
IRQ,2027,0.8
JAM,2027,0.93
JOR,2027,0.81
KAZ,2027,0.97
KEN,2027,0.94
KGZ,2027,0.96
KHM,2027,0.89
KIR,2027,0.85
LAO,2027,0.77
LBN,2027,0.71
LBR,2027,0.62
LBY,2027,0.77
LCA,2027,0.82
LKA,2027,0.97
LSO,2027,0.96
MAR,2027,0.99
MDA,2027,0.88
MDG,2027,0.41
MDV,2027,0.99
MEX,2027,0.99
MHL,2027,0.9
MKD,2027,0.74
MLI,2027,0.74
MMR,2027,0.47
MNE,2027,0.19
MNG,2027,0.96
MOZ,2027,0.89
MRT,2027,0.67
MWI,2027,0.96
MYS,2027,0.96
NAM,2027,0.96
NER,2027,0.85
NGA,2027,0.63
NIC,2027,0.88
NPL,2027,0.96
PAK,2027,0.86
PER,2027,0.83
PHL,2027,0.61
PNG,2027,0.4
PRK,2027,0.45
PRY,2027,0.72
PSE,2027,0.98
RUS,2027,0.97
RWA,2027,0.92
SDN,2027,0.86
SEN,2027,0.92
SLB,2027,0.71
SLE,2027,0.92
SLV,2027,0.91
SOM,2027,0.49
SRB,2027,0.83
SSD,2027,0.52
STP,2027,0.82
SUR,2027,0.62
SWZ,2027,0.85
SYR,2027,0.63
TCD,2027,0.58
TGO,2027,0.74
THA,2027,0.96
TJK,2027,0.97
TKM,2027,0.97
TLS,2027,0.84
TON,2027,0.99
TUN,2027,0.96
TUR,2027,0.96
TUV,2027,0.96
TZA,2027,0.81
UGA,2027,0.96
UKR,2027,0.93
UZB,2027,0.99
VCT,2027,0.99
VEN,2027,0.72
VNM,2027,0.94
VUT,2027,0.53
WSM,2027,0.66
YEM,2027,0.75
ZAF,2027,0.92
ZMB,2027,0.96
ZWE,2027,0.9
AFG,2028,0.68
AGO,2028,0.39
ALB,2028,0.93
ARG,2028,0.87
ARM,2028,0.96
AZE,2028,0.96
BDI,2028,0.96
BEN,2028,0.73
BFA,2028,0.94
BGD,2028,0.97
BGR,2028,0.95
BIH,2028,0.73
BLR,2028,0.98
BLZ,2028,0.85
BOL,2028,0.8
BRA,2028,0.78
BTN,2028,0.97
BWA,2028,0.97
CAF,2028,0.44
CHN,2028,0.99
CIV,2028,0.73
CMR,2028,0.66
COD,2028,0.59
COG,2028,0.73
COL,2028,0.92
COM,2028,0.88
CPV,2028,0.96
CRI,2028,0.95
CUB,2028,0.99
DJI,2028,0.54
DMA,2028,0.96
DOM,2028,0.94
DZA,2028,0.86
ECU,2028,0.7
EGY,2028,0.96
ERI,2028,0.96
ETH,2028,0.58
FJI,2028,0.96
FSM,2028,0.69
GAB,2028,0.69
GEO,2028,0.96
GHA,2028,0.96
GIN,2028,0.5
GMB,2028,0.85
GNB,2028,0.68
GNQ,2028,0.57
GRD,2028,0.89
GTM,2028,0.87
GUY,2028,0.96
HND,2028,0.87
HTI,2028,0.7
IDN,2028,0.77
IND,2028,0.95
IRN,2028,0.99
IRQ,2028,0.8
JAM,2028,0.94
JOR,2028,0.81
KAZ,2028,0.97
KEN,2028,0.95
KGZ,2028,0.96
KHM,2028,0.9
KIR,2028,0.86
LAO,2028,0.78
LBN,2028,0.72
LBR,2028,0.62
LBY,2028,0.78
LCA,2028,0.83
LKA,2028,0.97
LSO,2028,0.96
MAR,2028,0.99
MDA,2028,0.89
MDG,2028,0.42
MDV,2028,0.99
MEX,2028,0.99
MHL,2028,0.91
MKD,2028,0.75
MLI,2028,0.75
MMR,2028,0.47
MNE,2028,0.19
MNG,2028,0.96
MOZ,2028,0.9
MRT,2028,0.68
MWI,2028,0.96
MYS,2028,0.96
NAM,2028,0.96
NER,2028,0.86
NGA,2028,0.63
NIC,2028,0.89
NPL,2028,0.96
PAK,2028,0.87
PER,2028,0.84
PHL,2028,0.61
PNG,2028,0.41
PRK,2028,0.45
PRY,2028,0.73
PSE,2028,0.98
RUS,2028,0.97
RWA,2028,0.93
SDN,2028,0.87
SEN,2028,0.93
SLB,2028,0.72
SLE,2028,0.93
SLV,2028,0.92
SOM,2028,0.49
SRB,2028,0.84
SSD,2028,0.53
STP,2028,0.83
SUR,2028,0.62
SWZ,2028,0.86
SYR,2028,0.63
TCD,2028,0.59
TGO,2028,0.75
THA,2028,0.96
TJK,2028,0.97
TKM,2028,0.97
TLS,2028,0.85
TON,2028,0.99
TUN,2028,0.96
TUR,2028,0.96
TUV,2028,0.96
TZA,2028,0.81
UGA,2028,0.96
UKR,2028,0.94
UZB,2028,0.99
VCT,2028,0.99
VEN,2028,0.73
VNM,2028,0.95
VUT,2028,0.54
WSM,2028,0.66
YEM,2028,0.76
ZAF,2028,0.93
ZMB,2028,0.96
ZWE,2028,0.91
AFG,2029,0.68
AGO,2029,0.39
ALB,2029,0.94
ARG,2029,0.88
ARM,2029,0.96
AZE,2029,0.96
BDI,2029,0.96
BEN,2029,0.74
BFA,2029,0.95
BGD,2029,0.97
BGR,2029,0.95
BIH,2029,0.74
BLR,2029,0.98
BLZ,2029,0.86
BOL,2029,0.81
BRA,2029,0.79
BTN,2029,0.97
BWA,2029,0.97
CAF,2029,0.44
CHN,2029,0.99
CIV,2029,0.74
CMR,2029,0.67
COD,2029,0.6
COG,2029,0.74
COL,2029,0.93
COM,2029,0.89
CPV,2029,0.96
CRI,2029,0.95
CUB,2029,0.99
DJI,2029,0.54
DMA,2029,0.96
DOM,2029,0.95
DZA,2029,0.87
ECU,2029,0.7
EGY,2029,0.96
ERI,2029,0.96
ETH,2029,0.58
FJI,2029,0.96
FSM,2029,0.69
GAB,2029,0.69
GEO,2029,0.96
GHA,2029,0.96
GIN,2029,0.51
GMB,2029,0.86
GNB,2029,0.68
GNQ,2029,0.57
GRD,2029,0.9
GTM,2029,0.88
GUY,2029,0.96
HND,2029,0.88
HTI,2029,0.7
IDN,2029,0.78
IND,2029,0.95
IRN,2029,0.99
IRQ,2029,0.81
JAM,2029,0.95
JOR,2029,0.82
KAZ,2029,0.97
KEN,2029,0.95
KGZ,2029,0.96
KHM,2029,0.91
KIR,2029,0.87
LAO,2029,0.79
LBN,2029,0.73
LBR,2029,0.63
LBY,2029,0.79
LCA,2029,0.83
LKA,2029,0.97
LSO,2029,0.96
MAR,2029,0.99
MDA,2029,0.9
MDG,2029,0.42
MDV,2029,0.99
MEX,2029,0.99
