country,year,mcv1
LKA,2023,0.97
LSO,2023,0.89
MAR,2023,0.97
MDA,2023,0.95
MDG,2023,0.54
MDV,2023,0.97
MEX,2023,0.72
MHL,2023,0.84
MKD,2023,0.74
MLI,2023,0.69
MMR,2023,0.83
MNE,2023,0.32
MNG,2023,0.96
MOZ,2023,0.86
MRT,2023,0.74
MWI,2023,0.9
MYS,2023,0.95
NAM,2023,0.79
NER,2023,0.78
NGA,2023,0.56
NIC,2023,0.97
NPL,2023,0.9
PAK,2023,0.8
PER,2023,0.84
PHL,2023,0.74
PNG,2023,0.36
PRK,2023,0.96
PRY,2023,0.86
PSE,2023,0.97
RUS,2023,0.96
RWA,2023,0.94
SDN,2023,0.89
SEN,2023,0.88
SLB,2023,0.8
SLE,2023,0.91
SLV,2023,0.81
SOM,2023,0.45
SRB,2023,0.86
SSD,2023,0.48
STP,2023,0.93
SUR,2023,0.63
SWZ,2023,0.8
SYR,2023,0.64
TCD,2023,0.4
TGO,2023,0.74
THA,2023,0.94
TJK,2023,0.96
TKM,2023,0.97
TLS,2023,0.84
TON,2023,0.97
TUN,2023,0.96
TUR,2023,0.95
TUV,2023,0.94
TZA,2023,0.87
UGA,2023,0.86
UKR,2023,0.91
UZB,2023,0.96
VCT,2023,0.97
VEN,2023,0.91
VNM,2023,0.93
VUT,2023,0.79
WSM,2023,0.94
YEM,2023,0.66
ZAF,2023,0.82
ZMB,2023,0.91
ZWE,2023,0.84
AFG,2024,0.64
AGO,2024,0.51
ALB,2024,0.95
ARG,2024,0.86
ARM,2024,0.95
AZE,2024,0.98
BDI,2024,0.92
BEN,2024,0.68
BFA,2024,0.88
BGD,2024,0.97
BGR,2024,0.95
BIH,2024,0.68
BLR,2024,0.98
BLZ,2024,0.96
BOL,2024,0.79
BRA,2024,0.91
BTN,2024,0.97
BWA,2024,0.97
CAF,2024,0.41
CHN,2024,0.99
CIV,2024,0.73
CMR,2024,0.6
COD,2024,0.65
COG,2024,0.73
COL,2024,0.95
COM,2024,0.9
CPV,2024,0.98
CRI,2024,0.95
CUB,2024,0.99
DJI,2024,0.83
DMA,2024,0.92
DOM,2024,0.96
DZA,2024,0.8
ECU,2024,0.83
EGY,2024,0.95
ERI,2024,0.93
ETH,2024,0.58
FJI,2024,0.96
FSM,2024,0.78
GAB,2024,0.62
GEO,2024,0.99
GHA,2024,0.92
GIN,2024,0.47
GMB,2024,0.85
GNB,2024,0.79
GNQ,2024,0.53
GRD,2024,0.94
GTM,2024,0.9
GUY,2024,0.98
HND,2024,0.89
HTI,2024,0.65
IDN,2024,0.88
IND,2024,0.95
IRN,2024,0.99
IRQ,2024,0.82
JAM,2024,0.94
JOR,2024,0.87
KAZ,2024,0.99
KEN,2024,0.89
KGZ,2024,0.96
KHM,2024,0.84
KIR,2024,0.94
LAO,2024,0.83
LBN,2024,0.82
LBR,2024,0.68
LBY,2024,0.73
LCA,2024,0.96
LKA,2024,0.99
LSO,2024,0.9
MAR,2024,0.99
MDA,2024,0.97
MDG,2024,0.55
MDV,2024,0.99
MEX,2024,0.73
MHL,2024,0.85
MKD,2024,0.75
MLI,2024,0.7
MMR,2024,0.84
MNE,2024,0.33
MNG,2024,0.98
MOZ,2024,0.87
MRT,2024,0.75
MWI,2024,0.92
MYS,2024,0.97
NAM,2024,0.8
NER,2024,0.79
NGA,2024,0.57
NIC,2024,0.99
NPL,2024,0.92
PAK,2024,0.81
PER,2024,0.85
PHL,2024,0.75
PNG,2024,0.37
PRK,2024,0.98
PRY,2024,0.87
PSE,2024,0.99
RUS,2024,0.98
RWA,2024,0.96
SDN,2024,0.9
SEN,2024,0.89
SLB,2024,0.81
SLE,2024,0.93
SLV,2024,0.82
SOM,2024,0.46
SRB,2024,0.87
SSD,2024,0.49
STP,2024,0.95
SUR,2024,0.64
SWZ,2024,0.81
SYR,2024,0.65
TCD,2024,0.41
TGO,2024,0.75
THA,2024,0.96
TJK,2024,0.98
TKM,2024,0.99
TLS,2024,0.85
TON,2024,0.99
TUN,2024,0.98
TUR,2024,0.97
TUV,2024,0.96
TZA,2024,0.88
UGA,2024,0.87
UKR,2024,0.93
UZB,2024,0.98
VCT,2024,0.99
VEN,2024,0.93
VNM,2024,0.95
VUT,2024,0.8
WSM,2024,0.96
YEM,2024,0.67
ZAF,2024,0.83
ZMB,2024,0.93
ZWE,2024,0.85
AFG,2025,0.65
AGO,2025,0.52
ALB,2025,0.96
ARG,2025,0.87
ARM,2025,0.96
AZE,2025,0.98
BDI,2025,0.93
BEN,2025,0.69
BFA,2025,0.89
BGD,2025,0.97
BGR,2025,0.96
BIH,2025,0.69
BLR,2025,0.98
BLZ,2025,0.96
BOL,2025,0.8
BRA,2025,0.92
BTN,2025,0.97
BWA,2025,0.97
CAF,2025,0.41
CHN,2025,0.99
CIV,2025,0.74
CMR,2025,0.61
COD,2025,0.66
COG,2025,0.74
COL,2025,0.96
COM,2025,0.91
CPV,2025,0.98
CRI,2025,0.96
CUB,2025,0.99
DJI,2025,0.84
DMA,2025,0.93
DOM,2025,0.96
DZA,2025,0.81
ECU,2025,0.84
EGY,2025,0.96
ERI,2025,0.94
ETH,2025,0.59
FJI,2025,0.96
FSM,2025,0.79
GAB,2025,0.63
GEO,2025,0.99
GHA,2025,0.93
GIN,2025,0.47
GMB,2025,0.86
GNB,2025,0.8
GNQ,2025,0.54
GRD,2025,0.95
GTM,2025,0.91
GUY,2025,0.98
HND,2025,0.9
HTI,2025,0.66
IDN,2025,0.89
IND,2025,0.96
IRN,2025,0.99
IRQ,2025,0.83
JAM,2025,0.95
JOR,2025,0.88
KAZ,2025,0.99
KEN,2025,0.9
KGZ,2025,0.96
KHM,2025,0.85
KIR,2025,0.95
LAO,2025,0.84
LBN,2025,0.83
LBR,2025,0.69
LBY,2025,0.74
LCA,2025,0.96
LKA,2025,0.99
LSO,2025,0.91
MAR,2025,0.99
MDA,2025,0.97
MDG,2025,0.56
MDV,2025,0.99
MEX,2025,0.74
MHL,2025,0.86
MKD,2025,0.76
MLI,2025,0.71
MMR,2025,0.85
MNE,2025,0.33
MNG,2025,0.98
MOZ,2025,0.88
MRT,2025,0.76
MWI,2025,0.93
MYS,2025,0.97
NAM,2025,0.81
NER,2025,0.8
NGA,2025,0.58
NIC,2025,0.99
NPL,2025,0.93
PAK,2025,0.82
PER,2025,0.86
PHL,2025,0.76
PNG,2025,0.37
PRK,2025,0.98
PRY,2025,0.88
PSE,2025,0.99
RUS,2025,0.98
RWA,2025,0.96
SDN,2025,0.91
SEN,2025,0.9
SLB,2025,0.82
SLE,2025,0.94
SLV,2025,0.83
SOM,2025,0.46
SRB,2025,0.88
SSD,2025,0.49
STP,2025,0.96
SUR,2025,0.65
SWZ,2025,0.82
SYR,2025,0.66
TCD,2025,0.41
TGO,2025,0.76
THA,2025,0.96
TJK,2025,0.98
TKM,2025,0.99
TLS,2025,0.86
TON,2025,0.99
TUN,2025,0.98
